  new family #0 KD beta(even,odd)=(1,0)  w7=ooooooo/booooob/.boooow/booooob/ooooooo
w=11 opening (1,3), target 0 [2s, searches 0]
  reply none: best cut sum -1/4 [3:1/4][8:-1/2]  OK
  reply (0,0): best cut sum 1/2 [3:1][8:-1/2]
  reply (1,1): best cut sum 3/4 [3:5/4][12:-1/2]
  reply (3,1): best cut sum 1/2 [6:1][9:-1/2]
  reply (4,1): best cut sum 13/8 [2:2][13:-3/8]
  reply (0,2): best cut sum 0 [3:1/2][12:-1/2]  OK
  reply (1,2): best cut sum 5/4 [3:11/4][12:-3/2]
  reply (2,2): best cut sum 1/4 [2:1][13:-3/4]
  reply (3,2): best cut sum 2 [3:3][12:-1]
  reply (4,2): best cut sum 1/4 [3:3/4][12:-1/2]
  reply (0,3): best cut sum 1 [3:1][12:0]
  reply (2,3): best cut sum 2 [3:2][12:0]
  reply (3,3): best cut sum 0 [3:1/4][12:-1/4]  OK
  reply (4,3): best cut sum 7/4 [3:2][12:-1/4]
  reply (0,4): best cut sum 0 [3:1/4][12:-1/4]  OK
  reply (1,4): best cut sum 7/4 [4:0][11:7/4]
  reply (2,4): best cut sum 0 [3:1/4][12:-1/4]  OK
  reply (3,4): best cut sum 3/2 [4:0][11:3/2]
  reply (4,4): best cut sum 0 [4:1/4][11:-1/4]  OK
  reply (0,5): best cut sum 3/2 [5:1/2][10:1]
  reply (1,5): best cut sum 0 [4:1/4][11:-1/4]  OK
  reply (2,5): best cut sum 2 [4:0][11:2]
  reply (3,5): best cut sum 1/4 [4:1/4][11:0]
  reply (4,5): best cut sum 13/8 [5:5/8][10:1]
  reply (0,6): best cut sum 1/2 [6:1/2][9:0]
  reply (1,6): best cut sum 2 [5:1][10:1]
  reply (2,6): best cut sum 1/4 [7:1/4][8:0]
  reply (3,6): best cut sum 2 [5:1][10:1]
  reply (4,6): best cut sum 1/2 [6:1/2][9:0]
  reply (0,7): best cut sum 3/2 [7:1/2][8:1]
  reply (1,7): best cut sum 1 [6:1][9:0]
  reply (2,7): best cut sum 2 [6:0][9:2]
  reply (3,7): best cut sum 1 [6:1][9:0]
  reply (4,7): best cut sum 7/4 [7:3/4][8:1]
  => CLOSES with exact bounds
